wavelength_nm,intensity
380,0.007020
382,0.002120
384,0.001010
386,0.005360
388,0.001660
390,0.003000
392,0.001050
394,0.001930
396,0.000833
398,0.001480
400,0.001460
402,0.001180
404,0.002330
406,0.000923
408,0.000655
410,0.004080
412,0.000899
414,0.000474
416,0.001880
418,0.000119
420,0.000972
422,0.001730
424,0.002560
426,0.000994
428,0.001570
430,0.001690
432,0.000534
434,0.004040
436,0.001270
438,0.001200
440,0.002080
442,0.003600
444,0.003920
446,0.002960
448,0.004490
450,0.003750
452,0.007530
454,0.006760
456,0.005060
458,0.008140
460,0.008360
462,0.009360
464,0.008950
466,0.011950
468,0.012620
470,0.013570
472,0.017320
474,0.017630
476,0.020830
478,0.024260
480,0.030110
482,0.035380
484,0.043320
486,0.054080
488,0.068970
490,0.090880
492,0.115940
494,0.145920
496,0.180510
498,0.232850
500,0.288810
502,0.350180
504,0.424190
506,0.509030
508,0.602890
510,0.691340
512,0.774370
514,0.850180
516,0.918770
518,0.963900
520,0.990970
522,1.000000
524,1.000000
526,0.980140
528,0.954870
530,0.922380
532,0.888090
534,0.848380
536,0.806860
538,0.772560
540,0.741880
542,0.716610
544,0.691340
546,0.671480
548,0.651620
550,0.635380
552,0.617330
554,0.601080
556,0.584840
558,0.572200
560,0.559570
562,0.548740
564,0.537910
566,0.527080
568,0.516250
570,0.503610
572,0.489170
574,0.471120
576,0.447650
578,0.424190
580,0.402530
582,0.379060
584,0.357400
586,0.335740
588,0.321300
590,0.305050
592,0.292420
594,0.283390
596,0.274370
598,0.261730
600,0.254510
602,0.245490
604,0.234660
606,0.223830
608,0.214800
610,0.202170
612,0.191340
614,0.182310
616,0.173300
618,0.165400
620,0.156860
622,0.150490
624,0.142450
626,0.137510
628,0.130960
630,0.125990
632,0.118810
634,0.112310
636,0.106300
638,0.101160
640,0.095580
642,0.092110
644,0.086390
646,0.079510
648,0.075970
650,0.072890
652,0.068160
654,0.064690
656,0.064010
658,0.059220
660,0.057060
662,0.052550
664,0.051370
666,0.048050
668,0.047090
670,0.043990
672,0.040540
674,0.039100
676,0.036140
678,0.035810
680,0.033770
682,0.031550
684,0.031660
686,0.026280
688,0.024960
690,0.026530
692,0.024350
694,0.020830
696,0.020090
698,0.021320
700,0.022180
702,0.017220
704,0.015400
706,0.013250
708,0.015810
710,0.016050
712,0.014720
714,0.010530
716,0.014460
718,0.012710
720,0.013770
722,0.009930
724,0.010730
726,0.010120
728,0.007230
730,0.009720
732,0.012320
734,0.010130
736,0.003680
738,0.002930
740,0.011750
742,0.006020
744,0.007120
746,0.005360
748,0.004350
750,0.001780
752,0.007180
754,0.008920
756,0.005320
758,0.000527
760,0.008480
762,0.013440
764,0.007260
766,0.004010
768,0.006200
770,0.003170
772,0.006400
774,0.002830
776,0.015080
778,0.002550
780,0.005700
