wavelength_nm,n,k
300,2.327200,0.171770
310,2.266100,0.085194
320,2.220800,0.040936
330,2.189200,0.017788
340,2.160600,0.006016
350,2.121300,0.000599
360,2.103900,0.000000
370,2.086900,0.000000
380,2.072500,0.000000
390,2.059600,0.000000
400,2.042800,0.000000
410,2.022500,0.000000
420,2.007300,0.000000
430,1.997400,0.000000
440,1.988900,0.000000
450,1.979900,0.000000
460,1.970900,0.000000
470,1.962300,0.000000
480,1.953300,0.000000
490,1.945800,0.000000
500,1.938200,0.000000
510,1.930400,0.000000
520,1.922700,0.000000
530,1.913200,0.000000
540,1.903700,0.000000
550,1.895700,0.000000
560,1.887700,0.000000
570,1.880100,0.000000
580,1.870500,0.000000
590,1.852800,0.000000
600,1.850100,0.000000
610,1.841900,0.000000
620,1.833700,0.000000
630,1.825300,0.000000
640,1.815100,0.000000
650,1.804900,0.000000
660,1.793800,0.000000
670,1.771100,0.000000
680,1.756400,0.000000
690,1.749500,0.000000
700,1.741900,0.000000
710,1.734900,0.000000
720,1.726500,0.000000
730,1.720100,0.000000
740,1.713400,0.000000
750,1.704300,0.000000
760,1.692400,0.000000
770,1.682300,0.000000
780,1.670200,0.000000
790,1.665300,0.000000
800,1.655600,0.000000
810,1.645700,0.000000
820,1.641800,0.000000
830,1.625700,0.000000
840,1.615200,0.000000
850,1.602200,0.000000
860,1.590000,0.000000
870,1.580400,0.000000
880,1.570100,0.000000
890,1.559500,0.000000
900,1.548600,0.000000
910,1.536800,0.000000
920,1.526100,0.000000
930,1.511900,0.010563
940,1.499900,0.014212
950,1.487400,0.017083
960,1.474500,0.012743
970,1.459600,0.019391
980,1.445100,0.023762
990,1.429000,0.033678
1000,1.420500,0.020348
1010,1.400100,0.029444
1020,1.394800,0.016692
1030,1.377400,0.019695
1040,1.366600,0.022445
1050,1.350400,0.033971
1060,1.339700,0.020103
1070,1.323500,0.034164
1080,1.305200,0.048181
1090,1.292500,0.029945
1100,1.279100,0.026621
1110,1.254800,0.029066
1120,1.252700,0.035844
1130,1.238900,0.055534
1140,1.219900,0.044115
1150,1.193900,0.048886
1160,1.174800,0.053022
1170,1.150800,0.060769
1180,1.162400,0.055794
1190,1.112900,0.051401
1200,1.082900,0.076532
1210,1.067700,0.063571
1220,1.046900,0.078344
1230,1.019900,0.079561
1240,0.994900,0.084468
1250,0.973190,0.090149
1260,0.954170,0.113500
1270,0.909050,0.089492
1280,0.892660,0.102400
1290,0.868100,0.112590
1300,0.838140,0.108290
1310,0.810380,0.128880
1320,0.780400,0.143740
1330,0.752960,0.153440
1340,0.726530,0.160220
1350,0.699950,0.167230
1360,0.671240,0.187440
1370,0.643030,0.216960
1380,0.618300,0.210860
1390,0.591260,0.245260
1400,0.565750,0.276110
1410,0.541500,0.299850
1420,0.518510,0.334080
1430,0.493540,0.338300
1440,0.471970,0.372380
1450,0.453100,0.401230
1460,0.430340,0.424570
1470,0.418160,0.470920
1480,0.404650,0.510550
1490,0.371740,0.502720
1500,0.365110,0.548730
1510,0.355110,0.581010
1520,0.347530,0.616860
1530,0.338700,0.651450
1540,0.338420,0.694050
1550,0.341710,0.737820
1560,0.317900,0.744370
1570,0.318850,0.781300
1580,0.315020,0.810200
1590,0.311010,0.840510
1600,0.311690,0.872570
1610,0.313580,0.902400
1620,0.310480,0.923590
1630,0.303500,0.946850
1640,0.308510,0.976080
1650,0.309950,0.999690
1660,0.305430,1.025100
1670,0.310970,1.056600
1680,0.317440,1.085000
1690,0.321120,1.118700
1700,0.300510,1.113000
